date,stock_code,direction,score,events,industries,confidence,reasons
2026-09-17,2382.TW,BUY,3.0,AI熱潮,AI伺服器,1.0,"AI熱潮 → AI伺服器（高強度利多, 信心100%, 即時）"
2026-09-17,2356.TW,BUY,3.0,AI熱潮,AI伺服器,1.0,"AI熱潮 → AI伺服器（高強度利多, 信心100%, 即時）"
2026-09-17,2308.TW,BUY,3.0,AI熱潮,AI伺服器,1.0,"AI熱潮 → AI伺服器（高強度利多, 信心100%, 即時）"
2026-09-17,3017.TW,BUY,3.0,AI熱潮,AI伺服器,1.0,"AI熱潮 → AI伺服器（高強度利多, 信心100%, 即時）"
2026-09-17,6669.TWO,BUY,3.0,AI熱潮,AI伺服器,1.0,"AI熱潮 → AI伺服器（高強度利多, 信心100%, 即時）"
2026-09-17,2515.TW,SELL,-2.1,升息,建材營造,0.7,"升息 → 建材營造（高強度利空, 信心70%, 即時）"
2026-09-17,5534.TW,SELL,-2.1,升息,建材營造,0.7,"升息 → 建材營造（高強度利空, 信心70%, 即時）"
2026-09-17,2504.TW,SELL,-2.1,升息,建材營造,0.7,"升息 → 建材營造（高強度利空, 信心70%, 即時）"
2026-09-17,2330.TW,NEUTRAL,-1.96,AI熱潮 | 關稅/貿易戰 | 升息 | 景氣轉弱,半導體,0.85,"AI熱潮 → 半導體（高強度利多, 信心100%, 即時） / 關稅/貿易戰 → 半導體（高強度利空, 信心100%, 中期） / 升息 → 半導體（高強度利空, 信心70%, 即時） / 景氣轉弱 → 半導體（中強度利空, 信心70%, 中期）"
2026-09-17,2454.TW,NEUTRAL,-1.96,AI熱潮 | 關稅/貿易戰 | 升息 | 景氣轉弱,半導體,0.85,"AI熱潮 → 半導體（高強度利多, 信心100%, 即時） / 關稅/貿易戰 → 半導體（高強度利空, 信心100%, 中期） / 升息 → 半導體（高強度利空, 信心70%, 即時） / 景氣轉弱 → 半導體（中強度利空, 信心70%, 中期）"
2026-09-17,2303.TW,NEUTRAL,-1.96,AI熱潮 | 關稅/貿易戰 | 升息 | 景氣轉弱,半導體,0.85,"AI熱潮 → 半導體（高強度利多, 信心100%, 即時） / 關稅/貿易戰 → 半導體（高強度利空, 信心100%, 中期） / 升息 → 半導體（高強度利空, 信心70%, 即時） / 景氣轉弱 → 半導體（中強度利空, 信心70%, 中期）"
2026-09-17,2344.TW,NEUTRAL,-1.96,AI熱潮 | 關稅/貿易戰 | 升息 | 景氣轉弱,半導體,0.85,"AI熱潮 → 半導體（高強度利多, 信心100%, 即時） / 關稅/貿易戰 → 半導體（高強度利空, 信心100%, 中期） / 升息 → 半導體（高強度利空, 信心70%, 即時） / 景氣轉弱 → 半導體（中強度利空, 信心70%, 中期）"
2026-09-17,3711.TW,NEUTRAL,-1.96,AI熱潮 | 關稅/貿易戰 | 升息 | 景氣轉弱,半導體,0.85,"AI熱潮 → 半導體（高強度利多, 信心100%, 即時） / 關稅/貿易戰 → 半導體（高強度利空, 信心100%, 中期） / 升息 → 半導體（高強度利空, 信心70%, 即時） / 景氣轉弱 → 半導體（中強度利空, 信心70%, 中期）"
2026-09-17,3576.TWO,NEUTRAL,1.78,政策補助,綠能,0.7,"政策補助 → 綠能（高強度利多, 信心70%, 短期）"
2026-09-17,6443.TW,NEUTRAL,1.78,政策補助,綠能,0.7,"政策補助 → 綠能（高強度利多, 信心70%, 短期）"
2026-09-17,3691.TW,NEUTRAL,1.78,政策補助,綠能,0.7,"政策補助 → 綠能（高強度利多, 信心70%, 短期）"
2026-09-17,2880.TW,NEUTRAL,1.4,升息,金融,0.7,"升息 → 金融（中強度利多, 信心70%, 即時）"
2026-09-17,2881.TW,NEUTRAL,1.4,升息,金融,0.7,"升息 → 金融（中強度利多, 信心70%, 即時）"
2026-09-17,2882.TW,NEUTRAL,1.4,升息,金融,0.7,"升息 → 金融（中強度利多, 信心70%, 即時）"
2026-09-17,2884.TW,NEUTRAL,1.4,升息,金融,0.7,"升息 → 金融（中強度利多, 信心70%, 即時）"
2026-09-17,2886.TW,NEUTRAL,1.4,升息,金融,0.7,"升息 → 金融（中強度利多, 信心70%, 即時）"
2026-09-17,2317.TW,NEUTRAL,0.59,關稅/貿易戰 | 景氣轉弱,電子零組件,0.85,"關稅/貿易戰 → 電子零組件（高強度利多, 信心100%, 中期） / 景氣轉弱 → 電子零組件（高強度利空, 信心70%, 中期）"
2026-09-17,2327.TW,NEUTRAL,0.59,關稅/貿易戰 | 景氣轉弱,電子零組件,0.85,"關稅/貿易戰 → 電子零組件（高強度利多, 信心100%, 中期） / 景氣轉弱 → 電子零組件（高強度利空, 信心70%, 中期）"
2026-09-17,3037.TW,NEUTRAL,0.59,關稅/貿易戰 | 景氣轉弱,電子零組件,0.85,"關稅/貿易戰 → 電子零組件（高強度利多, 信心100%, 中期） / 景氣轉弱 → 電子零組件（高強度利空, 信心70%, 中期）"
